3301
89   0.4013   4.2799 228.5576   6.8246 6  -0.0405   0.0271   0.0398   0.0251   0.0000   0.0300   0.0000   0.0300
90   8.8887   4.4620 232.6178   5.7154 6  -0.0551   0.0225  -0.0073   0.0308   0.0000   0.0300   0.0000   0.0300
91   0.0809   3.5295 228.1227   6.5250 6  -0.0179   0.0240  -0.0203   0.0298   0.0000   0.0300   0.0000   0.0300
92 -10.3544   5.4745 240.6200   7.2969 6  -0.0072   0.0244   0.0225   0.0306   0.0000   0.0300   0.0000   0.0300
93 -23.0054   3.9330 231.9551   5.9187 6   0.0169   0.0230   0.0252   0.0258   0.0000   0.0300   0.0000   0.0300
94  -2.6491   4.6731 234.3738   6.7529 6   0.0109   0.0228   0.0212   0.0317   0.0000   0.0300   0.0000   0.0300
95 -33.1248   6.4957 234.1095   8.8590 6   0.0441   0.0381  -0.0199   0.0368   0.0000   0.0300   0.0000   0.0300
96 -23.2798   4.3922 242.3942   5.2541 6   0.0413   0.0207  -0.0346   0.0210   0.0000   0.0300   0.0000   0.0300
97 -26.7453   5.3416 244.5911   8.7521 6   0.0221   0.0278   0.0613   0.0320   0.0000   0.0300   0.0000   0.0300
98 -23.8509   5.0886 228.4698   7.8779 6   0.0640   0.0324   0.0161   0.0347   0.0000   0.0300   0.0000   0.0300
99  17.2993   4.0765 224.3891   8.5109 6  -0.0596   0.0232   0.0642   0.0361   0.0000   0.0300   0.0000   0.0300
100   5.7328   4.0509 231.9674   5.8452 6  -0.0067   0.0221   0.0054   0.0301   0.0000   0.0300   0.0000   0.0300
101 -31.8534   4.6972 231.4817   6.8464 6   0.0743   0.0282   0.0077   0.0317   0.0000   0.0300   0.0000   0.0300
102  -3.8700   4.2067 243.1951   6.6348 6  -0.0292   0.0255  -0.0072   0.0324   0.0000   0.0300   0.0000   0.0300
103   3.4303   4.8762 220.6098   7.7506 6  -0.0648   0.0301   0.0550   0.0360   0.0000   0.0300   0.0000   0.0300
104   8.0060   4.8879 238.6471   5.5978 6  -0.0530   0.0204   0.0094   0.0257   0.0000   0.0300   0.0000   0.0300
105  -8.3027   4.6859 243.1008   5.1347 6   0.0248   0.0231  -0.0368   0.0271   0.0000   0.0300   0.0000   0.0300
106  -3.2017   3.7422 229.4688   6.4532 6  -0.0391   0.0205   0.0087   0.0269   0.0000   0.0300   0.0000   0.0300
107 -13.7402   3.5118 254.1722   5.3976 6  -0.0199   0.0190   0.0142   0.0206   0.0000   0.0300   0.0000   0.0300
108 -18.9260   4.3940 243.4407   4.9483 6   0.0017   0.0215  -0.0114   0.0243   0.0000   0.0300   0.0000   0.0300
109  -8.9155   4.0872 264.8180   5.2656 6  -0.0120   0.0197   0.0224   0.0188   0.0000   0.0300   0.0000   0.0300
110  -7.7888   3.9142 224.3666   8.1624 6  -0.0613   0.0247  -0.0151   0.0456   0.0000   0.0300   0.0000   0.0300
111 -28.4094   5.1295 215.0833   6.7095 6   0.0450   0.0287   0.0017   0.0342   0.0000   0.0300   0.0000   0.0300
112 -19.0041   4.0139 219.4202   6.6826 6   0.0048   0.0247   0.0121   0.0332   0.0000   0.0300   0.0000   0.0300
113 -11.0027   4.4134 227.9688   8.0375 6  -0.0103   0.0229   0.0346   0.0426   0.0000   0.0300   0.0000   0.0300
114  -4.4129   5.9264 224.4099   6.8385 6   0.0080   0.0298   0.0393   0.0369   0.0000   0.0300   0.0000   0.0300
115   3.8130   4.1814 224.0422   6.7397 6  -0.0546   0.0236   0.0187   0.0336   0.0000   0.0300   0.0000   0.0300
116 -25.9997   4.1200 241.6360   6.7056 6   0.0273   0.0246   0.0030   0.0287   0.0000   0.0300   0.0000   0.0300
117 -30.3388   3.8189 236.3057   5.5290 6   0.0038   0.0217   0.0042   0.0234   0.0000   0.0300   0.0000   0.0300
118 -17.1932   4.7486 245.2295   7.3895 6   0.0950   0.0234   0.0014   0.0280   0.0000   0.0300   0.0000   0.0300
119 -23.4268   5.0805 229.2296   6.8057 6  -0.0282   0.0284  -0.0132   0.0340   0.0000   0.0300   0.0000   0.0300
120 -22.0230   4.8026 242.7324   4.8615 6  -0.0027   0.0191   0.0171   0.0232   0.0000   0.0300   0.0000   0.0300
121 -32.8107   4.3004 233.7251   6.0613 6   0.0344   0.0251   0.0284   0.0308   0.0000   0.0300   0.0000   0.0300
122  -0.1268   4.9508 269.2346   6.0924 6   0.0100   0.0189   0.0134   0.0225   0.0000   0.0300   0.0000   0.0300
123   1.4663   5.1262 256.8005   6.7539 6   0.0325   0.0228  -0.0139   0.0260   0.0000   0.0300   0.0000   0.0300
124 -17.2834   4.3487 240.2792   5.0820 6  -0.0147   0.0190  -0.0238   0.0213   0.0000   0.0300   0.0000   0.0300
125   6.7073   4.0965 250.0913   5.5354 6  -0.0320   0.0187   0.0076   0.0282   0.0000   0.0300   0.0000   0.0300
126   3.2961   5.1758 229.6056   6.3647 6  -0.0301   0.0327  -0.0331   0.0351   0.0000   0.0300   0.0000   0.0300
127  -2.6642   4.9890 223.3535   6.8576 6   0.0042   0.0245   0.0445   0.0298   0.0000   0.0300   0.0000   0.0300
128 -26.0082   4.8742 221.4580   6.7313 6   0.0318   0.0296  -0.0463   0.0354   0.0000   0.0300   0.0000   0.0300
129 -18.7786   4.5792 223.1931   9.2292 6  -0.0188   0.0260   0.0060   0.0416   0.0000   0.0300   0.0000   0.0300
130 -17.9639   5.4351 250.2064   5.4132 6   0.0243   0.0251   0.0091   0.0213   0.0000   0.0300   0.0000   0.0300
131  -4.9130   5.9606 200.8760   8.2572 6  -0.0495   0.0360   0.0116   0.0425   0.0000   0.0300   0.0000   0.0300
132   3.6238   4.0299 222.7870   6.8836 6  -0.0721   0.0251  -0.0090   0.0310   0.0000   0.0300   0.0000   0.0300
133  -8.6191   5.3367 200.4901  10.4406 6   0.0096   0.0374   0.0763   0.0517   0.0000   0.0300   0.0000   0.0300
134 -29.2372   3.9196 235.7455   5.2758 6  -0.0025   0.0209   0.0096   0.0248   0.0000   0.0300   0.0000   0.0300
135 -10.6737   4.5230 264.9834   5.2910 6   0.0424   0.0176  -0.0414   0.0256   0.0000   0.0300   0.0000   0.0300
136  -8.8053   5.0275 219.2113   7.3230 6  -0.0318   0.0365  -0.0079   0.0417   0.0000   0.0300   0.0000   0.0300
137  13.2618   5.1659 206.6544   6.4011 6  -0.0309   0.0365  -0.0233   0.0377   0.0000   0.0300   0.0000   0.0300
138 -22.6380   5.4529 210.5670   6.9082 6  -0.0134   0.0289   0.0294   0.0294   0.0000   0.0300   0.0000   0.0300
139 -15.6689   5.3464 209.7880   8.8850 6  -0.0123   0.0369   0.0467   0.0349   0.0000   0.0300   0.0000   0.0300
140 -12.8132   4.5916 218.4358   6.6587 6  -0.0264   0.0256   0.0152   0.0354   0.0000   0.0300   0.0000   0.0300
141  -3.2236   5.0870 224.2574   9.2736 6  -0.0456   0.0266   0.0162   0.0407   0.0000   0.0300   0.0000   0.0300
142  -6.6945   3.9109 241.0673   7.7334 6  -0.0265   0.0172   0.0677   0.0272   0.0000   0.0300   0.0000   0.0300
143  -5.0980   4.8133 221.3619   8.2247 6   0.0264   0.0242   0.0542   0.0357   0.0000   0.0300   0.0000   0.0300
144   8.6582   6.3865 186.9481   7.6154 6  -0.0343   0.0448   0.0095   0.0340   0.0000   0.0300   0.0000   0.0300
145 -28.1558   4.3618 223.1022   6.9839 6   0.0234   0.0254   0.0036   0.0372   0.0000   0.0300   0.0000   0.0300
146 -12.9529   4.4227 226.9100   6.4422 6   0.0136   0.0267  -0.0211   0.0334   0.0000   0.0300   0.0000   0.0300
147  -1.8090   4.9525 229.2806   7.3035 6  -0.0081   0.0256  -0.0087   0.0269   0.0000   0.0300   0.0000   0.0300
148   4.0222   4.4433 241.5090   7.4252 6  -0.0225   0.0241  -0.0245   0.0289   0.0000   0.0300   0.0000   0.0300
149  -8.5576   5.3944 236.8910   7.1415 6   0.0103   0.0246   0.0362   0.0303   0.0000   0.0300   0.0000   0.0300
150 -32.7496   4.2605 253.6234   5.0644 6   0.0501   0.0211  -0.0601   0.0209   0.0000   0.0300   0.0000   0.0300
151   5.5933   4.3063 245.8060   6.8650 6  -0.0074   0.0236  -0.0260   0.0277   0.0000   0.0300   0.0000   0.0300
152  -5.4650   5.0434 200.7614   8.4898 6  -0.0241   0.0294   0.0519   0.0393   0.0000   0.0300   0.0000   0.0300
153 -37.0340   5.1790 236.2575   6.0157 6   0.0207   0.0249  -0.0427   0.0328   0.0000   0.0300   0.0000   0.0300
